Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.165477, 0.037867, 0.117027, 0.175974, 0.052513, 0.133716
Thread1, 0.125900, 0.038896, 0.075314, 0.132368, 0.055028, 0.087954
Thread2, 0.164559, 0.051576, 0.127543, 0.171612, 0.036964, 0.116798
Thread3, 0.166771, 0.039651, 0.134553, 0.176239, 0.040183, 0.126978
Thread4, 0.165666, 0.048471, 0.102800, 0.171517, 0.060559, 0.106653
Thread5, 0.128235, 0.040919, 0.072089, 0.134545, 0.064612, 0.091502
Thread6, 0.163810, 0.037931, 0.122750, 0.173778, 0.046689, 0.121297
Thread7, 0.158971, 0.045234, 0.126966, 0.169298, 0.032063, 0.112006
Thread8, 0.159713, 0.031076, 0.122915, 0.165956, 0.042912, 0.124885
Thread9, 0.159123, 0.031109, 0.109111, 0.166751, 0.056589, 0.132181
Thread10, 0.115625, 0.053103, 0.078892, 0.124929, 0.055696, 0.070093
Thread11, 0.162130, 0.040850, 0.119558, 0.173506, 0.053071, 0.123284
Thread12, 0.126492, 0.042704, 0.064993, 0.132275, 0.058055, 0.090944
Thread13, 0.160329, 0.035178, 0.123639, 0.170786, 0.041259, 0.110910
