Threadname, Real, User, Sys
Main, 1.269140, 2.599681, 35.368088
Thread0, 1.264235, 0.106776, 1.157068
Thread1, 1.251203, 0.084815, 1.166244
Thread2, 1.238395, 0.077811, 1.160262
Thread3, 1.075755, 0.057894, 1.016968
Thread4, 1.243980, 0.099858, 1.142917
Thread5, 1.268500, 0.122768, 1.144831
Thread6, 1.252863, 0.090914, 1.161346
Thread7, 1.172322, 0.071942, 1.099721
Thread8, 1.254010, 0.095817, 1.157689
Thread9, 1.242271, 0.088819, 1.152713
Thread10, 1.242669, 0.079826, 1.162668
Thread11, 1.081997, 0.063880, 1.017765
Thread12, 1.245377, 0.094857, 1.149633
Thread13, 1.251273, 0.088907, 1.161259
Thread14, 1.089102, 0.074930, 1.013468
Thread15, 1.250921, 0.100889, 1.149132
Thread16, 1.087965, 0.081876, 1.005366
Thread17, 1.134648, 0.086893, 1.047281
Thread18, 1.250325, 0.086854, 1.162700
Thread19, 1.256489, 0.101876, 1.154022
Thread20, 1.239156, 0.066908, 1.172002
Thread21, 1.248865, 0.081911, 1.166073
Thread22, 1.254054, 0.068904, 1.184891
Thread23, 1.247445, 0.069963, 1.176893
Thread24, 1.249730, 0.083923, 1.164547
Thread25, 1.088055, 0.073948, 1.013829
Thread26, 1.080400, 0.068954, 1.010722
Thread27, 1.078793, 0.066933, 1.011545
Thread28, 1.079248, 0.077925, 1.000465
Thread29, 1.077022, 0.063923, 1.012243
Thread30, 1.087671, 0.059915, 1.027060
Thread31, 1.084743, 0.056970, 1.026855
